epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4128.11,1.41776,1.09291,1.1788,0.8049,0.69825,0.79102,0.44873,1.46984,0.97301,1.23823,0.00104813,0.00104813,0.00104813
77,4179.29,1.4241,1.07238,1.18855,0.80643,0.71718,0.80737,0.46433,1.44148,0.95287,1.23021,0.00103987,0.00103987,0.00103987
78,4224.19,1.44066,1.06938,1.19571,0.79013,0.77219,0.8122,0.46767,1.44629,0.93151,1.23515,0.00103162,0.00103162,0.00103162
79,4266.73,1.42123,1.05291,1.18809,0.81971,0.75194,0.82037,0.4721,1.43333,0.92471,1.21683,0.00102337,0.00102337,0.00102337
80,4309.31,1.4218,1.07726,1.20261,0.80161,0.7111,0.8036,0.43938,1.50955,0.96597,1.25198,0.00101512,0.00101512,0.00101512
81,4352.68,1.41809,1.06413,1.17775,0.79579,0.73823,0.80264,0.46459,1.40499,0.93396,1.21414,0.00100687,0.00100687,0.00100687
82,4395.53,1.39712,1.05215,1.17825,0.80841,0.7231,0.81249,0.46995,1.42346,0.92505,1.22039,0.000998616,0.000998616,0.000998616
83,4438.8,1.39169,1.05043,1.17407,0.77123,0.74157,0.80004,0.45351,1.45005,0.93274,1.22964,0.000990365,0.000990365,0.000990365
84,4482.82,1.42679,1.05795,1.19235,0.80202,0.7263,0.80683,0.44886,1.47096,0.95017,1.23077,0.000982113,0.000982113,0.000982113
85,4526.71,1.38901,1.02112,1.17543,0.81369,0.73931,0.8123,0.46531,1.46484,0.92146,1.23535,0.000973861,0.000973861,0.000973861
86,4571.75,1.39569,1.0373,1.18124,0.80309,0.74644,0.81411,0.47249,1.42946,0.92217,1.21457,0.00096561,0.00096561,0.00096561
